dataset(id);id_db;description_short;keyword(synonyms);description_full;dataset(description);dataset(description);segmented_word;dataset(title,description);success_a;failure_b;failure_c;failure_d;failure_e;completion_time;category;WER_score
129;94218569-032a-4e76-90a0-e90ce8e826bc;Lindenstraße;Lindenstraße,light station,number 50; Lindenstraße Leuchtstelle Nummer 50 brennt nicht.;Lindenstrasse, Leuchtstelle Nr 50;brennt nicht;null;Lindenstrasse, Leuchtstelle Nr 50 brennt nicht;;;x;;;83;Strassenbeleuchtung;0.500
130;d6eacaa4-b507-4304-9795-8818dd072b4b;lamp;lamp,light,ivy,edgebergweg,signal; Edgebergweg Leuchtstelle Nummer 4 Sonstige Störung Lampe ist immer noch mit Efeu umhüllt Strahlkraft Minim Obwohl im Stadtmelder als erledigt angegeben Danke für uns entfernen;Aetschbergweg, Leuchtstelle Nr 4;sonstige Störung Lampe ist immernoch mit Efeu eingehüllt = Strahlkraft minim. Obwohl im Stadtmelder als erledigt angegeben. Danke fürs Entfernen. ;a lamp;Aetschbergweg, Leuchtstelle Nr 4 sonstige Störung Lampe ist immernoch mit Efeu eingehüllt = Strahlkraft minim. Obwohl im Stadtmelder als erledigt angegeben. Danke fürs Entfernen. ;;;;x;;183;Strassenbeleuchtung;0.500
131;32b1ad22-819c-46dc-8335-61324bd09b60;Kesselhaldenstraße;Kesselhaldenstraße,fire station,number 14,fire; Kesselhaldenstraße Leuchtstelle Nummer 14 brennt teilweise.;Kesselhaldenstrasse, Leuchtstelle Nr 14;brennt teilweise;null;Kesselhaldenstrasse, Leuchtstelle Nr 14 brennt teilweise;;;x;;;86;Strassenbeleuchtung;0.500
132;879cf1dd-9a07-43b0-b1e5-803c11f9d9c0;Ottmarstrasse;Ottmarstrasse,light pole,number 1,street light; Ottmarstrasse Leuchtstelle Nummer 1 brennt nicht.;Otmarstrasse, Leuchtstelle Nr 1;brennt nicht;a light pole;Otmarstrasse, Leuchtstelle Nr 1 brennt nicht;x;;;;;122;Strassenbeleuchtung;0.500
133;39af3f44-2bc4-452f-88f3-f1d3cb907074;light post;light post,light pole,staircase,sidewalk,building; Mattenweg Leuchtstelle Nummer 2 brennt nicht. Es betrifft die Leuchtstelle bei der Treppe auf dem Lachenweg neben dem Wohnblock Turnerstraße 33 90.000 St. Gallen. Dieser ist wenige Meter entfernt von der Leuchtstelle Nummer 2 am Mattenweg.;Mattenweg, Leuchtstelle Nr 2;brennt nicht Es betrifft die Leuchtstelle bei der Treppe auf dem Lachenweg neben dem Wohnblock Turnerstrasse 33, 9000 St. Gallen. Diese ist wenige Meter entfernt von der Leuchtstelle Nr. 2 am Mattenweg. ;a light post;Mattenweg, Leuchtstelle Nr 2 brennt nicht Es betrifft die Leuchtstelle bei der Treppe auf dem Lachenweg neben dem Wohnblock Turnerstrasse 33, 9000 St. Gallen. Diese ist wenige Meter entfernt von der Leuchtstelle Nr. 2 am Mattenweg. ;x;;;;;208;Strassenbeleuchtung;0.222
134;235ed281-5d42-49a1-b561-6467af53a00f;roomway;roomway,light point number 1,other disturbance,water,candle; Zimmerweg, Leuchtstelle Nummer 1, sonstige Störung, Wasser strömt aus dem Kandellaber.;Zimmerweg, Leuchtstelle Nr 1;"sonstige Störung Wasser strömt aus dem Kandelaber
";null;"Zimmerweg, Leuchtstelle Nr 1 sonstige Störung Wasser strömt aus dem Kandelaber
";;;x;;;92;Strassenbeleuchtung;0.364
135;637968d4-8938-4a3f-afb8-6d4b64445f5b;light station number 8;light station number 8,light station,number 8; Guisanweg Leuchtstelle Nummer 8 brennt nicht.;Guisanweg, Leuchtstelle Nr 8;brennt nicht;null;Guisanweg, Leuchtstelle Nr 8 brennt nicht;;;x;;;89;Strassenbeleuchtung;0.500
136;e4a278c7-d986-4d39-ba4e-d0c2c0d108a0;Guizhan Wegleuchtstelle;Guizhan Wegleuchtstelle,light pole,number 9; Guizhan Wegleuchtstelle Nummer 9 brennt nicht.;Guisanweg, Leuchtstelle Nr 9;brennt nicht;a light pole;Guisanweg, Leuchtstelle Nr 9 brennt nicht;x;;;;;137;Strassenbeleuchtung;0.667
137;72b7e378-b2c8-47d3-bb7d-94a176ce3b92;field;field,light station number 3,door field; Im Feld Leuchtstelle Nummer 3. Türchenfeld ist offen.;Im Feld, Leuchtstelle Nr 3;"Türchen fehlt Ist offen
";a light station number 3;"Im Feld, Leuchtstelle Nr 3 Türchen fehlt Ist offen
";x;;;;;189;Strassenbeleuchtung;0.778
138;bb2e8c1e-bbe6-470a-ad0c-92be3154b403;street;street,light,number 2,disturbance; Parkstraße Leuchtstelle Nummer 2. Sonstige Störung geht an und aus. Macht was Sie will.;Parkstrasse, Leuchtstelle Nr 2;"sonstige Störung Geht an und aus macht was sie will
";a light;"Parkstrasse, Leuchtstelle Nr 2 sonstige Störung Geht an und aus macht was sie will
";x;;;;;240;Strassenbeleuchtung;0.643
139;010efc15-7f71-4393-9c6a-c25a319d0b88;street light number 35;street light number 35,street intersection,street,light,intersection; Fürstenlandstraße Leuchtestelle Nummer 35 brennt nicht, Abkreuzung Moosstraße leuchtet bis beinahe Haltestelle Waldacker an der Fürstenlandstraße gar nicht mehr.;Fürstenlandstrasse, Leuchtstelle Nr 35;"brennt nicht Ab Kreuzung Moosstrasse leuchtet bis beinahe Haltestelle Waldacker an der Fürstenlandstrasse gar nicht mehr.
";a street;"Fürstenlandstrasse, Leuchtstelle Nr 35 brennt nicht Ab Kreuzung Moosstrasse leuchtet bis beinahe Haltestelle Waldacker an der Fürstenlandstrasse gar nicht mehr.
";;;;x;;414;Strassenbeleuchtung;0.400
140;2ea6ea0f-312f-4148-96d4-66a411c01866;light;light,glass,light fixture,glass,storm; Von Wildstraße Leuchtstelle Nummer 9. Leuchte Glas zerstört. Soeben ist das Glas während dem heftigen Sturm zur Hälfte abgebrochen und droht herunterzufallen.;Vonwilstrasse, Leuchtstelle Nr 9;Leuchte/Glas zerstört, fehlt Soeben ist das Glas während dem heftigen Sturm zur Hälfte abgebrochen und droht herunterzufallen;a light;Vonwilstrasse, Leuchtstelle Nr 9 Leuchte/Glas zerstört, fehlt Soeben ist das Glas während dem heftigen Sturm zur Hälfte abgebrochen und droht herunterzufallen;x;;;;;348;Strassenbeleuchtung;0.381
141;61f740a3-0fb4-49ba-b8c0-61023ceeea11;Stückelbergstrasse;Stückelbergstrasse,Leuchtstelle Nummer 3,street,location; Stückelbergstrasse Leuchtstelle Nummer 3 brennt nicht.;Stückelbergstrasse, Leuchtstelle Nr 3;brennt nicht;null;Stückelbergstrasse, Leuchtstelle Nr 3 brennt nicht;;;x;;;89;Strassenbeleuchtung;0.500
142;67d635c8-37e7-4eaf-b03b-6b7464336ae2;street;street,Huttenwiesstraße,number nine,building; Hüttenwiesstraße leuchtet, Stelle Nummer 9, brennt nicht seit ca. 2 Wochen.;Hüttenwiesstrasse, Leuchtstelle Nr 9;brennt nicht Seit ca. 2 Wochen;null;Hüttenwiesstrasse, Leuchtstelle Nr 9 brennt nicht Seit ca. 2 Wochen;;;x;;;98;Strassenbeleuchtung;0.700
143;20586053-bc78-4c9b-8542-cd2588243e3d;Wadianstraße;Wadianstraße,Leuchtstelle,number 19,Türchenfeld; Wadianstraße Leuchtstelle Nummer 19, Türchenfeld.;Vadianstrasse, Leuchtstelle Nr 19;Türchen fehlt;null;Vadianstrasse, Leuchtstelle Nr 19 Türchen fehlt;;;x;;;98;Strassenbeleuchtung;0.833
144;6e67368d-063d-435e-b99d-8dc691469393;street light;street light,lamp,light; Eschenstraße Leuchtstellen Nummer 1 brennt nicht, die Lampe brennt nicht.;Eschenstrasse, Leuchtstelle Nr 1;"brennt nicht Die Lampe brennt nicht.
";a street light;"Eschenstrasse, Leuchtstelle Nr 1 brennt nicht Die Lampe brennt nicht.
";x;;;;;116;Strassenbeleuchtung;0.500
145;dfd5cc1d-c1bd-4195-a299-35bd403932b7;street lamp;street lamp,street light,street,light,traffic light; Judy-Strasse, Leuchtstelle Nummer 7, brennt nicht. Strassenlampe 6 bis 8 an der Judy-Strasse funktioniert schon wieder nicht.;Tschudistrasse, Leuchtstelle Nr 7;brennt nicht Strassenlampen Nr. 6 - 8 an der Tschudistrasse funktionieren schon wieder nicht ;a street lamp;Tschudistrasse, Leuchtstelle Nr 7 brennt nicht Strassenlampen Nr. 6 - 8 an der Tschudistrasse funktionieren schon wieder nicht ;x;;;;;177;Strassenbeleuchtung;0.556
146;69b23d51-d58a-454e-a80e-40905880a32e;light;light,lamp,glass,light fixture; Magni Halden 14 Leuchte Glas zerstört fehlt.;Magnihalden 14;Leuchte/Glas zerstört, fehlt;a light;Magnihalden 14 Leuchte/Glas zerstört, fehlt;x;;;;;193;Strassenbeleuchtung;1.200
147;625427df-9538-405d-92e9-85233d559e97;street;street,St. Josefenstraße,light,light bulb,glass; St. Josefenstraße, Leuchtstelle Nummer 40, Leuchteglas zerstört. Sieht gefährlich aus.;St.Josefenstrasse, Leuchtstelle Nr 40;"Leuchte/Glas zerstört, fehlt Sieht gefährlich aus...
";a light;"St.Josefenstrasse, Leuchtstelle Nr 40 Leuchte/Glas zerstört, fehlt Sieht gefährlich aus...
";x;;;;;365;Strassenbeleuchtung;0.800
148;312dd9a8-d708-4714-8450-762c8bcd8410;Swanstraße;Swanstraße,light station,number 1; Schwanenstraße Leuchtstelle Nummer 1 brennt nicht.;Schwanenstrasse, Leuchtstelle Nr 1;brennt nicht;null;Schwanenstrasse, Leuchtstelle Nr 1 brennt nicht;;;x;;;96;Strassenbeleuchtung;0.500
149;2fd02aa1-ba2f-4bce-a762-be0e6fc4aa5e;city park;city park,light,lamp,light fixture; Stadtpark Leuchtstelle Nummer 3 brennt nicht, Lampe defekt.;Stadtpark, Leuchtstelle Nr 3;brennt nicht Lampe defekt;a light;Stadtpark, Leuchtstelle Nr 3 brennt nicht Lampe defekt;x;;;;;226;Strassenbeleuchtung;0.500
150;d8efd1c6-5344-4598-ad2c-c127dc012bab;street section;street section,lighting,street,traffic light; Nordkehrstraße 20 sonstige Störung Beleuchtung des ganzen Straßenabschnitts brennt zu und Zeiten.;Notkerstrasse 20;sonstige Störung Beleuchtung des ganzen Strassenabschnitts brennt zu Unzeiten.;a lighting;Notkerstrasse 20 sonstige Störung Beleuchtung des ganzen Strassenabschnitts brennt zu Unzeiten.;x;;;;;261;Strassenbeleuchtung;0.364
151;3d9b0578-2a0f-418f-b27f-0e2808b009b2;pothole;pothole,street,St. Jürgenstrasse,house number,road; Schlagloch St. Jürgenstrasse 100. Sehr geehrte Damen und Herren, Schlagloch St. Jürgenstrasse Höhe, Hausnummer 100, Fahrt Richtung Bach. Vielen Dank fürs Reparieren. Freundliche Grüße.;Schlagloch St.Georgenstrasse 100;Sehr geehrte Damen und Herren Schlagloch St.Georgenstrasse, Höhe HausNr 100, Fahrtrichtung „Bach“ Vielen Dank fürs Reparieren. Freundliche Grüsse;a street;Schlagloch St.Georgenstrasse 100 Sehr geehrte Damen und Herren Schlagloch St.Georgenstrasse, Höhe HausNr 100, Fahrtrichtung „Bach“ Vielen Dank fürs Reparieren. Freundliche Grüsse;;;;;x;244;Strassenschäden;0.571
152;0b07ff7e-f45e-413c-8b1d-44f5bdaae92c;road damage;road damage,sidewalk,stroller,part of the road; Strassenbeschädigung. Es ist sehr mühsam mit dem Kinderwagen zu fahren, da ein Teil von der Strasse beschädigt ist.;Strassenbeschädigung;Es ist sehr mühsam mit Kinderwagen zu fahren da ein Teil von der Strasse beschädigt ist;a sidewalk;Strassenbeschädigung Es ist sehr mühsam mit Kinderwagen zu fahren da ein Teil von der Strasse beschädigt ist;x;;;;;187;Strassenschäden;0.235
153;8455cf41-1813-4475-8d0c-72236603da39;wooden step;wooden step,step,staircase,wooden stairs,step; Holz tritt ist lose, der elfste oberste Tritt der Waldtreppe ist lose, wackelig und gefährlich.;Holztritt ist lose;Der 11. oberste Tritt der Walltreppe ist lose, wacklig und gefährlich.;a wooden step;Holztritt ist lose Der 11. oberste Tritt der Walltreppe ist lose, wacklig und gefährlich.;x;;;;;225;Strassenschäden;0.500
154;8f0f1cd5-9ca9-4fe3-a417-6408318f3f53;stairs;stairs,wooden plank,wooden plate,path,street; Treppe defekt. Die Treppe vom Fichteweg zur Sonnenbergstraße ist defekt. Eine ganze Holzplatte fehlt und liegt an der Straße.;Treppe defekt;Die Treppe vom Fichteweg zur Sonnenbergstrasse ist defekt. Eine ganze Holzlatte fehlt und liegt an der Strasse;a stairs;Treppe defekt Die Treppe vom Fichteweg zur Sonnenbergstrasse ist defekt. Eine ganze Holzlatte fehlt und liegt an der Strasse;x;;;;;201;Strassenschäden;0.211
155;7ead8c9d-75c9-4145-afe3-f27ee56dac93;street;street,Hetereweg,Höhenweg,Tigerbergstrasse,road; Komplett überfrorene Strasse. Der Hetereweg Nr. 1 bis 7, der Höhenweg Nr. 35 bis 31 sowie die Tigerbergstrasse waren heute Morgen komplett überfroren und aalglatt. Ein Begehen befahren ohne Ausrutschen war kaum möglich. Offenbar hat der Unterhaltungsdienst vergessen zu salzen.;Komplett überfrorene Strassen;Der Hätterenweg (Nr. 1 - 7), der Höhenweg (Nr. 35 - 31) sowie die Tigerbergstrasse waren heute Morgen komplett überfroren und aalglatt. Ein Begehen / Befahren ohne Ausrutschen war kaum möglich. Offenbar hat der Unterhaltsdienst vergessen, zu salzen.;null;Komplett überfrorene Strassen Der Hätterenweg (Nr. 1 - 7), der Höhenweg (Nr. 35 - 31) sowie die Tigerbergstrasse waren heute Morgen komplett überfroren und aalglatt. Ein Begehen / Befahren ohne Ausrutschen war kaum möglich. Offenbar hat der Unterhaltsdienst vergessen, zu salzen.;;;x;;;107;Strassenschäden;0.293
156;93bfd566-9bf7-4a40-853d-3d34a8d2dab8;sled;sled,path sled,helper,stones,water stones; Pfadschlitten macht auf unspunnen. Werter Helfer, wir machen Sie auf den einen Pfadschlitten verursachten Schaden an der Wassersteinen aufmerksam. Vielen Dank und beste Grüße.;Pfadschlitten machte auf Unspunnen;Werte Helfer Wir machen Sie auf den durch einen Pfadschlitten verursachten Schaden an den Wassersteinen aufmerksam. Vielen Dank und beste Grüsse;a stones;Pfadschlitten machte auf Unspunnen Werte Helfer Wir machen Sie auf den durch einen Pfadschlitten verursachten Schaden an den Wassersteinen aufmerksam. Vielen Dank und beste Grüsse;x;;;;;107;Strassenschäden;0.320
157;189cd19d-c066-4864-a31b-fccbe87ed723;stair step;stair step,wooden beam,staircase,ledge,rock face; Fehlende Treppenstufe auf Mühlektreppe. Bei der drittobersten Treppenabschnitt der Mühlektreppen kurz vor der Felsenstraße fehlt eine Treppenstufe. Der Holzbalken liegt auf der Seite. Sehr grosse Sturzgefahr, wenn man sich nicht achtet.;Fehlende Treppenstufe auf Mühleggtreppe;Beim drittobersten Treppenabschnitt der Mühlegg-Treppe (kurz vor Felsenstrasse) fehlt eine Treppenstufe (Holzbalken liegt auf der Seite). Sehr grosse Sturzgefahr wenn man sich nicht achtet!;a stair step;Fehlende Treppenstufe auf Mühleggtreppe Beim drittobersten Treppenabschnitt der Mühlegg-Treppe (kurz vor Felsenstrasse) fehlt eine Treppenstufe (Holzbalken liegt auf der Seite). Sehr grosse Sturzgefahr wenn man sich nicht achtet!;x;;;;;108;Strassenschäden;0.464
158;4975356f-2f76-49c1-b1f2-475e6d2bfcb9;dampender Dohlendeckel;dampender Dohlendeckel,cap,lid,defect; Dampfender Dohlendeckel. Aufgrund des Schnees ist beim vorbeigehen aufgefallen, dass der untere bei den Deckel dampft und heiß ist. Da ich noch nie zuvor gesehen habe, dachte ich, dass es eventuell ein Defekt vorliegt.;Dampfender Dolendeckel;Aufgrund des Schnees ist beim Vorbeigehen aufgefallen, dass der untere der beiden Deckel dampft und heiss ist. Da ich das noch nie zuvor gesehen habe, dachte ich, dass da eventuell ein Defekt vorliegt.;null;Dampfender Dolendeckel Aufgrund des Schnees ist beim Vorbeigehen aufgefallen, dass der untere der beiden Deckel dampft und heiss ist. Da ich das noch nie zuvor gesehen habe, dachte ich, dass da eventuell ein Defekt vorliegt.;;;;;x;100;Strassenschäden;0.200
159;a3beafb1-63aa-4be5-bf84-d3d4901c4024;snow removal;snow removal,pedestrian path,bridge,sidewalk,roller chair,stroller; Schneeräumung, Fussgängerweg. Auf der Brücke an der Vonnwilstraße sollte der Fussgängerweg unbedingt vom Schnee befreit werden. Der Weg ist rutschig und mit einem Rollator oder Kinderwagen kaum passierbar.;Schneeräumung Fussgängerweg;Auf der Brücke an der Vonwilstrasse sollte der Fussgängerweg unbedingt vom Schnee befreit werden. Der Weg ist rutschig und mit Rollator oder Kinderwagen kaum pasierbar.;a snow removal;Schneeräumung Fussgängerweg Auf der Brücke an der Vonwilstrasse sollte der Fussgängerweg unbedingt vom Schnee befreit werden. Der Weg ist rutschig und mit Rollator oder Kinderwagen kaum pasierbar.;x;;;;;163;Strassenschäden;0.185
160;f753556b-5d17-4d7a-924f-00091d071115;money;money,stations,VBSG,law,work; Flickwerk, eine Schande, aber viel Geld für Willowverkehr und dann endlich die Haltestellen der VBSG nach Gesetz fertiggestellt.;Flickwerk;Eine Schande.Aber viel Geld für Veloverkehr.Und wann werden endlich die Haltestellen der VBSG nach Gesetzt fertig gestellt.;null;Flickwerk Eine Schande.Aber viel Geld für Veloverkehr.Und wann werden endlich die Haltestellen der VBSG nach Gesetzt fertig gestellt.;;;x;;;98;Strassenschäden;0.556
161;9cdd8bee-f902-47f9-af96-bb135be05e3b;hole;hole,gully,hole,danger; Loch beim Gully. Das Loch wird immer größer, siehe Bild im Dunkeln, sehr gefährlich, wenn jemand hineintritt.;Loch beim Gulli;Das Loch wird immer grösser,, siehe Bild. Im Dunkeln sehr gefährlich, wenn jemand hinentritt.;a hole;Loch beim Gulli Das Loch wird immer grösser,, siehe Bild. Im Dunkeln sehr gefährlich, wenn jemand hinentritt.;x;;;;;90;Strassenschäden;0.353
162;d94f28a6-9097-4de7-853e-89e690455763;sidewalk edge;sidewalk edge,curbstone,joint mortar,paving stone,pavement; Randstand vom Trottoir, sehr geehrtes Tiefenamt, wäre es möglich den Randstein zu kontrollieren? Es fehlt der Fugenmörtel, was für ältere Menschen und Rollatorbenutzer zu Unsicherheit führt. Herzlichen Dank für Ihre Bemühungen.;Randstad vom Trotoir;Sehr geehrtes Tiefbauamt wäre es möglich den Randstein zu kontrollierten, es fehlt der Fugenmörtel was für ältere Leute und Rollator Benützer zu Unsicherheit führt. Herzlichen Dank für Ihre Bemühung;a curbstone;Randstad vom Trotoir Sehr geehrtes Tiefbauamt wäre es möglich den Randstein zu kontrollierten, es fehlt der Fugenmörtel was für ältere Leute und Rollator Benützer zu Unsicherheit führt. Herzlichen Dank für Ihre Bemühung;x;;;;;103;Strassenschäden;0.344
163;59a50e28-3ced-4b9b-8ada-47c0e960f0f3;damaged doll cap;damaged doll cap,doll cap,construction,railway,sidewalk; Beschädigter Dollendeckel. Am Burggraben haben die Appenzellerbahn vor einigen Tagen noch gebaut ein Bauweichen. Und dabei offenbar einen Dollendeckel auf dem Trottoir beschädigt. Sehr gefährlich für Sehbehinderte oder alte Menschen.;Beschädigter Dollendeckel;Am Burggraben haben die Appenzeller Bahnen vor ein paar Tagen noch gebaut (Einbau Weichen) und dabei offenbart einen Dollendeckel auf dem Trottoir beschädigt. Sieht gefährlich aus für sehbehinderte oder alte Menschen.;a sidewalk;Beschädigter Dollendeckel Am Burggraben haben die Appenzeller Bahnen vor ein paar Tagen noch gebaut (Einbau Weichen) und dabei offenbart einen Dollendeckel auf dem Trottoir beschädigt. Sieht gefährlich aus für sehbehinderte oder alte Menschen.;;;x;;;208;Strassenschäden;0.364
164;c774abd6-94ae-444f-b13e-e8911a2634a3;pavement damage;pavement damage,pedestrian crossing,Rohrschacherstrasse,Rehbruckstrasse,pavement; Belagsschaden bei Fussgängerstreifenverzweigung, Rohrschacherstrasse, Rehbruckstrasse. Dieser Belagsschaden wird immer grösser. Bitte ausbessern.;Belag Schaden beim Fussgängerstreifen Verzweigung Rorschacherstrasse / Rehburgstrasse;Dieser Belag Schaden wird immer grösser. Bitte ausbessern.;a pavement damage;Belag Schaden beim Fussgängerstreifen Verzweigung Rorschacherstrasse / Rehburgstrasse Dieser Belag Schaden wird immer grösser. Bitte ausbessern.;x;;;;;177;Strassenschäden;0.625
165;554f61d1-462f-4ca4-a6e2-319145d7b5d0;hole;hole,sidewalk,trench,pavement; Loch im Trottoir, Telle ca. 5 cm tief.;loch im trottoir;delle ca 5cm tief;a sidewalk;loch im trottoir delle ca 5cm tief;x;;;;;139;Strassenschäden;1.000
166;f2d709e5-c17c-4b1f-9f7b-deb1b45dbc81;hole;hole,road,street,road surface,pothole; Ein grösseres Loch an der Talhofstraße hat es in der Strassenmitte ein grösseres Loch. Für Velofahrer könnte es nach Fahrweise gefährlich werden.;Grösseres Loch;An der Talhofstrasse hat es in der Strassenmitte ein grösseres Loch. Für Velofahrer könnte es nach Fahrweise gefährlich werden.;null;Grösseres Loch An der Talhofstrasse hat es in der Strassenmitte ein grösseres Loch. Für Velofahrer könnte es nach Fahrweise gefährlich werden.;;;;;x;94;Strassenschäden;0.190
167;ec3fa5c4-18c0-4b30-80b9-9c2a7bc32913;Bollor;Bollor,monument,stone,monument,grass; Bollor ausgerissen. Guten Tag, heute Morgen habe ich gesehen, dass an der St. Leonhardskirche ein Bollor ausgerissen wurde. Der Bollor selber liegt auf der Wiese.;Boller ausgerissen;Guten Tag, heute morgen habe ich gesehen, dass an der St. Leonhard Kirche ein Boller ausgerissen wurde. der Boller selber liegt in der Wiese.;a stone;Boller ausgerissen Guten Tag, heute morgen habe ich gesehen, dass an der St. Leonhard Kirche ein Boller ausgerissen wurde. der Boller selber liegt in der Wiese.;x;;;;;213;Strassenschäden;0.346
168;81a70fe6-55b6-4e0f-80ca-ea3e8b2d700a;stumbling stones;stumbling stones,rows of vines,city side,hands,knees; Stolpersteine bei den drei Weiern. Auf der Stadtseite beide Hände und Knie aufgeschürft.;stolpersteine bei den 3 weieren;auf der stadtseite beide hände und knie aufgeschürft ;a stumbling stones;stolpersteine bei den 3 weieren auf der stadtseite beide hände und knie aufgeschürft ;x;;;;;153;Strassenschäden;0.615
169;d534526b-870f-48aa-b589-0cae7beee902;drainage defect;drainage defect,drainage ditch,gutter defect,drainage system; Entwässerungsrinnendefekt. Im Hinterhof der Wadianschreise 59 sind die Entwässerungsrinnendefekt.;Entwässerungsrinne defekt;Im Hinterhof der Vadianstrasse 59 sind die Entwässerungsrinnen defekt.;a drainage defect;Entwässerungsrinne defekt Im Hinterhof der Vadianstrasse 59 sind die Entwässerungsrinnen defekt.;x;;;;;166;Strassenschäden;0.455
170;3d7e87c0-c769-4100-8ea7-bba50bc99d35;potholes;potholes,Burgweiherweg,road,road surface; Schlaglöcher im Burgweiherweg. Im oberen Teil des Burgweiherweges hat es Schlaglöcher. Wird dies bald behoben.;Schlaglöcher im Burgweiherweg;Im oberen Teil des Burgweiherweges hat es Schlaglöcher. Wird das bald behoben?;a potholes;Schlaglöcher im Burgweiherweg Im oberen Teil des Burgweiherweges hat es Schlaglöcher. Wird das bald behoben?;x;;;;;172;Strassenschäden;0.200
171;64e3944f-b9ff-477a-a667-cfd0dac3c8d7;stair step;stair step,broken stair step,rotten wood,wooden step,trail; Treppenstufe abgebrochen, morsches Holz ziemlich gefährlich beim Brunnenbergsteig.;Treppenstufe abgebrochen;Morsches Holz, ziemlich gefährlich. Beim Brunnenbergsteig.;a broken stair step;Treppenstufe abgebrochen Morsches Holz, ziemlich gefährlich. Beim Brunnenbergsteig.;x;;;;;209;Strassenschäden;0.625
172;246a74a1-b6bd-4803-9dee-5abdb6d0886b;wooden step;wooden step,staircase,step,stair; Holzstufe aus Treppe ausgebrochen. Ein Tritt fehlt.;Holzstufe aus Treppe ausgebrochen;Ein Tritt fehlt;a wooden step;Holzstufe aus Treppe ausgebrochen Ein Tritt fehlt;x;;;;;88;Strassenschäden;0.286
173;4eb1b93a-e0a9-424b-96f0-5b859f51d906;drainpipe;drainpipe,gutter,road,hillside path,pavement; Abflussrinne verstopft. Die Abflussrinne zwischen dem Hügelweg und der Hartungsstraße ist stark verschmutzt, sodass bei Regen es zu einem Rückstau von Wasser kommt. Die Straße dient auch als Gehweg zu den Liegenschaften des Hügelweges.;Abflussrinne verstopft;Die Abflussrinne zwischen dem Hügelweg und der Hardungstrasse ist stark verschmutz,t so dass es bei Regen zu einem Rückstau des Wassers kommt. Die Strasse dient auch als Gehweg zu den Liegenschaften des Hügelweges.;a road;Abflussrinne verstopft Die Abflussrinne zwischen dem Hügelweg und der Hardungstrasse ist stark verschmutz,t so dass es bei Regen zu einem Rückstau des Wassers kommt. Die Strasse dient auch als Gehweg zu den Liegenschaften des Hügelweges.;x;;;;;450;Strassenschäden;0.286
174;ef7128eb-cee5-4bf2-a8f4-9dfbd6d85a45;pothole;pothole,road,lane,Heresau; Schlagloch auf linker Spur Richtung Heresau. Die Grösse des Schlaglochs ist ungefährlich für Autos, aber für Verkehrsmittel mit zwei Rädern zu vermeiden.;Schlagloch auf linker Spur Richtung Herisau;Die Grösse des Schlaglochs ist ungefährlich für Autos, aber für Verkehrsmittel mit zwei Rädern zu vermeiden.;a pothole;Schlagloch auf linker Spur Richtung Herisau Die Grösse des Schlaglochs ist ungefährlich für Autos, aber für Verkehrsmittel mit zwei Rädern zu vermeiden.;x;;;;;308;Strassenschäden;0.045
175;38e71976-b16c-477d-9238-85bea76781c5;cap;cap,knob,fitting; Schieberkappe verkehrt klemmt.;Schieberkappe;Schieberkappe verkehrt (klemmt);null;Schieberkappe Schieberkappe verkehrt (klemmt);;;x;;;87;Strassenschäden;0.500
176;4cb312f1-7208-4937-ba83-37a3f454758a;planting;planting,spring planting,fountain,St. Leonhard-Percli; Dank für die Bepflanzung. Vielen Dank für die schöne Frühlingsbepflanzung rund um den Brunnen im St. Leonhard-Percli.;Dank für Bepflanzung;Vielen Dank für die schöne Frühlingsbepflanzung rund um den Brunnen im St.Leonhard-Pärkli.;a fountain;Dank für Bepflanzung Vielen Dank für die schöne Frühlingsbepflanzung rund um den Brunnen im St.Leonhard-Pärkli.;;;x;;;203;Diverses;0.267
177;f3b2407a-f765-41af-b400-898176ec4b9c;handrail;handrail,staircase,metal screws,plastic,railing; Geländerbierttreppe muss angeschraubt werden. Zuoberst am Treppengeländer fehlen zwei Metallschrauben. Zudem ist etwas Plastik weg, was aber nicht fest stört.;Geländer Birttreppe muss angeschraubt werden.;Zuoberst am Treppengeländer fehlen zwei Metallschrauben. Zudem ist etwas Plastik weg, was aber nicht fest stört.;null;Geländer Birttreppe muss angeschraubt werden. Zuoberst am Treppengeländer fehlen zwei Metallschrauben. Zudem ist etwas Plastik weg, was aber nicht fest stört.;;;;;x;99;Diverses;0.095
178;78a5f229-d3f3-4354-84a3-dd36e1d0689f;bench;bench,property,Brauerstraße 107,winter,restoration; Danke. Bei den mehrheitlich negativen Meldungen möchte ich einfach mal Danke sagen. Das Bänkli östlich der Liegenschaft Brauerstraße 107 kam top restauriert und gepflegt nach dem Winter wieder an seinen Platz. Merci vielmals. Danke.;Danke;Bei den mehrheitlich negativen Meldungen möchte ich einfach mal danke sagen: das Bänkli östlich der Liegenschaft Brauerstrasse 107 kam top restauriert und gepflegt nach dem Winter wieder zurück an seinen Platz - merci vielmals, danke!;a bench;Danke Bei den mehrheitlich negativen Meldungen möchte ich einfach mal danke sagen: das Bänkli östlich der Liegenschaft Brauerstrasse 107 kam top restauriert und gepflegt nach dem Winter wieder zurück an seinen Platz - merci vielmals, danke!;x;;;;;193;Diverses;0.306
